time,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-4292653.41,955168.47,5139356.57,109.649663,-7527.72649,1484.521489,5.528986649809,-1.2302679053114,-6.6195499962663,5.528986649809,-1.2302679053114,-6.6195499962663
60.0,-4276130.764,501640.1506,5216447.948,440.8995044,-7584.043046,1084.189397,5.5084167710857,-0.6462017116843,-6.7197125039339,5.5084167710857,-0.6462017116843,-6.7197125039339
120.0,-4239785.465,45786.44927,5269357.68,770.1498564,-7605.207759,678.7772427,5.4623602979004,-0.0589893249854,-6.7888176007585,5.4623602979004,-0.0589893249854,-6.7888176007585
180.0,-4183783.258,-410279.4808,5297837.09,1095.87688,-7591.112907,270.1592543,5.3910151766711,0.5286657485356,-6.8265295773217,5.3910151766711,0.5286657485356,-6.8265295773217
240.0,-4108380.89,-864442.8941,5301750.471,1416.572094,-7541.813194,-139.7744838,5.2946951727153,1.1140548407296,-6.8326558258508,5.2946951727153,1.1140548407296,-6.8326558258508
300.0,-4013924.986,-1314597.201,5281075.784,1730.749288,-7457.525694,-549.1266558,5.1738287381118,1.6944763040691,-6.8071480539611,5.1738287381118,1.6944763040691,-6.8071480539611
360.0,-3900850.502,-1758653.688,5235904.828,2036.951361,-7338.629063,-956.0013936,5.028957371997,2.2672477256436,-6.7501028731748,5.028957371997,2.2672477256436,-6.7501028731748
420.0,-3769678.779,-2194551.175,5166442.892,2333.757041,-7185.66202,-1358.512974,4.8607334745195,2.8297181222202,-6.6617617528838,4.8607334745195,2.8297181222202,-6.6617617528838
480.0,-3621015.195,-2620265.55,5073007.89,2619.787462,-6999.321099,-1754.794491,4.6699176976655,3.379280064781,-6.5425103326504,4.6699176976655,3.379280064781,-6.5425103326504
540.0,-3455546.427,-3033819.155,4956028.968,2893.712566,-6780.45767,-2143.006472,4.4573757982604,3.9133816799089,-6.3928770881157,4.4573757982604,3.9133816799089,-6.3928770881157
600.0,-3274037.335,-3433289.972,4816044.604,3154.257307,-6530.074253,-2521.345388,4.2240750006481,4.4295384745268,-6.2135313483385,4.2240750006481,4.4295384745268,-6.2135313483385
660.0,-3077327.483,-3816820.557,4653700.202,3400.207611,-6249.320128,-2888.052034,3.971079878838,4.9253449298254,-6.00528066509,3.971079878838,4.9253449298254,-6.00528066509
720.0,-2866327.306,-4182626.702,4469745.18,3630.416087,-5939.486249,-3241.419721,3.6995477702863,5.3984858097768,-5.769067537494,3.6995477702863,5.3984858097768,-5.769067537494
780.0,-2642013.946,-4529005.763,4265029.584,3843.807443,-5601.999506,-3579.802266,3.410723735921,5.8467471294513,-5.5059654984099,3.410723735921,5.8467471294513,-5.5059654984099
840.0,-2405426.772,-4854344.632,4040500.22,4039.383586,-5238.41632,-3901.621713,3.1059350835296,6.2680267284599,-5.2171745720956,3.1059350835296,6.2680267284599,-5.2171745720956
900.0,-2157662.601,-5157127.295,3797196.341,4216.228382,-4850.415636,-4205.375778,2.7865854741652,6.6603443952703,-4.9040161159458,2.7865854741652,6.6603443952703,-4.9040161159458
960.0,-1899870.649,-5435941.964,3536244.885,4373.512051,-4439.791309,-4489.644954,2.4541486337922,7.0218514889002,-4.5679270624527,2.4541486337922,7.0218514889002,-4.5679270624527
1020.0,-1633247.228,-5689487.726,3258855.308,4510.495174,-4008.44394,-4753.09926,2.1101616949507,7.3508400056182,-4.2104535809643,2.1101616949507,7.3508400056182,-4.2104535809643
1080.0,-1359030.213,-5916580.69,2966314.021,4626.532287,-3558.372176,-4994.504594,1.7562181957458,7.6457510397776,-3.8332441822887,1.7562181957458,7.6457510397776,-3.8332441822887
1140.0,-1078493.307,-6116159.597,2659978.454,4721.075048,-3091.663528,-5212.728648,1.3939607659455,7.9051825898072,-3.4380422926808,1.3939607659455,7.9051825898072,-3.4380422926808
1200.0,-792940.1323,-6287290.864,2341270.784,4793.674958,-2610.484742,-5406.746369,1.0250735323647,8.1278966626789,-3.0266783272251,1.0250735323647,8.1278966626789,-3.0266783272251
1260.0,-503698.1667,-6429173.042,2011671.35,4843.985613,-2117.071762,-5575.644934,0.6512742779937,8.3128256328767,-2.6010612960524,0.6512742779937,8.3128256328767,-2.6010612960524
1320.0,-212112.5646,-6541140.655,1672711.779,4871.764486,-1613.719337,-5718.628194,0.2743063914753,8.4590778150076,-2.1631699801695,0.2743063914753,8.4590778150076,-2.1631699801695
1380.0,80460.11809,-6622667.406,1325967.867,4876.874216,-1102.770318,-5835.020595,-0.1040693544895,8.5659422127105,-1.7150437168964,-0.1040693544895,8.5659422127105,-1.7150437168964
1440.0,372658.2596,-6673368.743,973052.2416,4859.283402,-586.6046953,-5924.270518,-0.4820831554476,8.6328924104213,-1.258772837966,-0.4820831554476,8.6328924104213,-1.258772837966
