time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.46529,4185811.71036,5163944.67155,-4315967.74,960356.2,5167269.53,129.091037,-7491.513855,1452.515654,5.45458058414,-1.21387660795,-6.5491737391,6759053.07579,1.02334780893,3.400115586061947E-16,-0.2024581932313422,-1.522968439585956E-16,-2.4715939055627265,-0.03718896475792745,-1.428993135204757,0.0,-0.0011222300308754611,0.0,434989.540812,1.61790350067E-12,978.31253865,5.4545805924,-1.21387690587,-6.54917367881
60.0,-1794959.99455,3943151.68504,5239238.39583,-4298410.85826,509021.505678,5242566.81045,455.963946889,-7547.27724747,1056.38097207,5.43713965721,-0.644045714437,-6.65043709479,6758732.94454,1.02772307802,-4.010830948211971E-5,-0.2037469663072568,-1.9311727786989224E-4,-2.4720882986443935,0.016571282752130267,-1.3863030343249614,-1.8755107418420575E-6,-0.0011659328972118597,-3.4035863575339466E-6,433110.362827,1.72881367557E-12,985.412396291,5.43713967909,-0.6440460354,-6.65043704791
120.0,-2147590.36738,3685729.23603,5290614.55452,-4261287.54983,55369.4292787,5293931.37431,781.062754047,-7568.72051957,655.053630853,5.39544966702,-0.0702749456473,-6.72218257776,6758512.12277,1.03209834711,-1.7648101202971187E-4,-0.20762340677438207,-5.938099794179706E-4,-2.470282020313258,0.07223533550136958,-1.3417348001879785,-3.974313281364934E-6,-0.0012100327312846832,-7.075879850005899E-6,430971.619627,1.86034556582E-12,993.232103913,5.39544970451,-0.0702752923004,-6.72218254647
180.0,-2492788.9527,3414636.35781,5317814.95338,-4204747.87443,-398535.183786,5321105.06538,1102.93448249,-7555.68004169,250.317992205,5.32959157389,0.505004785121,-6.76398528206,6758393.58769,1.0364736162,-4.3371021634370225E-4,-0.2141183256159179,-0.00120731466949159,-2.465870683001017,0.1297033548427974,-1.2949579089758074,-6.326680402982078E-6,-0.0012548719162461758,-1.1037393401648461E-5,428579.639012,2.01482233957E-12,1001.72133777,5.32959162946,0.505004410001,-6.76398526911
240.0,-2829091.78249,3131015.00396,5320689.09137,-4129028.86889,-850622.064831,5323937.48822,1420.13380728,-7508.13896681,-156.019389504,5.23973990617,1.07933267453,-6.77553117175,6758378.61387,1.04084888529,-8.372573765271266E-4,-0.22328337173035465,-0.0020371844196543113,-2.458485989929455,0.18885909055010383,-1.245554489672407,-8.969509282296404E-6,-0.001300791497434512,-1.5312140968143763E-5,425943.217812,2.19454832113E-12,1010.79306958,5.23973998275,1.07933226815,-6.77553118055
300.0,-3155060.49716,2836052.72779,5299195.28989,-4034453.91802,-1298824.3787,5302387.13718,1731.22874794,-7426.22882224,-562.136566365,5.12616535262,1.65022500302,-6.75662197629,6758466.96652,1.04522415437,-0.001413695231435076,-0.23519096206070736,-0.0030849553140409164,-2.4476744260190877,0.2495602745789534,-1.1930008288148477,-1.1946743998547202E-5,-0.0013481293888472769,-1.9928353631863772E-5,423073.646519,2.40174378341E-12,1020.32814316,5.12616545366,1.65022456269,-6.756622011
360.0,-3469288.31054,2530978.15509,5253401.40551,-3921431.77956,-1741087.66261,5256522.10877,2034.80650459,-7310.23063875,-966.203285019,4.98923687335,2.21518355026,-6.7071798496,6758657.07082,1.04959942346,-0.002190991238234864,-0.24993407883263516,-0.00434978703007426,-2.4328704445878495,0.31162503413053694,-1.1366426110064543,-1.530985963061575E-5,-0.0013972175740120812,-2.4919216845526967E-5,419984.696873,2.6385181585E-12,1030.18611678,4.98923700282,2.2151830736,-6.70717991516
420.0,-3770405.97224,2217056.29647,5183485.10976,-3790455.25545,-2175378.81692,5186520.38072,2329.47939945,-7160.575539,-1366.38833597,4.82942307142,2.77170513298,-6.62725135851,6758946.11918,1.05397469255,-0.0031988528936786964,-0.26762586218237644,-0.005828060414026751,-2.4133627342032686,0.37481274004129006,-1.0756625116903737,-1.9118397121726686E-5,-0.0014483779026595116,-3.0323626217761752E-5,416692.568984,2.90688155252E-12,1040.21947056,4.82942323381,2.77170461804,-6.62725146072
480.0,-4057087.70257,1895583.7096,5089733.72153,-3642099.50475,-2599695.11345,5092669.64343,2613.89087592,-6977.84473195,-1760.86711514,4.64729274296,3.31729177816,-6.51701054473,6759330.09545,1.05834996164,-0.0044691612021533446,-0.2883989007135695,-0.007512910579228853,-2.388252409163158,0.43879704994954316,-1.009039017699365,-2.3440529460173298E-5,-0.001501916018082125,-3.618694930150292E-5,413215.796201,3.20877489167E-12,1050.28712981,4.64729294325,3.31729122361,-6.5170106902
540.0,-4328057.07452,1567883.52483,4972543.5811,-3477019.99597,-3012073.1852,4975366.67275,2886.72150823,-6762.76889065,-2147.82934011,4.44351470854,3.84946102825,-6.37676103524,6759803.71728,1.06272523073,-0.006036527289955592,-0.3124040924377864,-0.009393666972348442,-2.3564032267712274,0.5031280621519062,-0.9354966020692942,-2.8353628400134928E-5,-0.0015581128753578831,-4.256176752937261E-5,409575.107933,3.54608932446E-12,1060.26407346,4.4435149522,3.8494604336,-6.37676123145
600.0,-4582092.81716,1235300.34872,4832418.95828,-3295950.09957,-3410597.96005,4835116.23655,3146.69498515,-6516.22691748,-2525.48686884,4.21885716813,4.36575601194,-6.20693739389,6760360.31898,1.06710049981,-0.007939020136869578,-0.33980891394198603,-0.011455160709073516,-2.316387548348064,0.5671795736591727,-0.8534509798795018,-3.394478641879587E-5,-0.0016172132421104959,-4.9508553957317444E-5,405793.252626,3.92064953653E-12,1070.04581969,4.21885746104,4.36575537765,-6.20693764912
660.0,-4818034.51631,899195.060274,4669970.48947,-3099698.32266,-3793411.50268,4672529.53004,3392.58404821,-6239.24411583,-2892.08158482,3.97418687607,4.86375516078,-6.0081060469,6760991.71451,1.0714757689,-0.010219132874600474,-0.3707948973859259,-0.013676841924963688,-2.2664404811413674,0.6300768859276472,-0.7609618727788641,-4.031123032932356E-5,-0.0016794105331480725,-5.7096217020889795E-5,401894.784789,4.33414803137E-12,1079.5484843,3.97418722444,4.86375448851,-6.00810637022
720.0,-5034788.18844,560939.513995,4485913.14041,-2889145.18891,-4158721.72933,4488322.13634,3623.21638147,-5932.98978601,-3245.8933341,3.7104683826,5.3410817361,-5.78096613813,6761688.08829,1.07585103799,-0.012925084940486931,-0.4055540757185162,-0.016031621905384305,-2.204453392158852,0.6906017410525904,-0.6557244406897649,-4.756054062459867E-5,-0.0017448273499581866,-6.540240680143612E-5,397905.821149,4.78802995836E-12,1088.70606683,3.71046879292,5.3410810289,-5.78096653926
780.0,-5231331.70427,221911.162008,4281063.69131,-2665239.76637,-4504810.96112,4283311.50926,3837.48046086,-5598.77424571,-3585.24791818,3.42876344956,5.79541356514,-5.52635056861,6762437.96005,1.08022630708,-0.01611260422056409,-0.44428412084851254,-0.018484309458747867,-2.128073424136936,0.7470769878421236,-0.5351659504658416,-5.5810564724577454E-5,-0.0018134912209593955,-7.451343821991619E-5,393853.771506,5.28333595027E-12,1097.46663189,3.42876392841,5.79541282764,-5.52635105785
840.0,-5406720.03666,-116512.3931,4056337.74067,-2428995.84524,-4830044.28079,4058413.9745,4034.33137217,-5238.04524709,-3908.52515701,3.1302305567,6.22449350104,-5.24522727938,6763228.25804,1.08460157617,-0.01984740897294799,-0.4871818754403459,-0.020989436264243676,-2.035029147345435,0.7972507572319546,-0.39676772148303446,-6.518888491179664E-5,-0.0018853053301829293,-8.452363689657514E-5,389767.049774,5.82051338869E-12,1105.78854971,3.13023111065,6.2244927397,-5.24522786735
900.0,-5560090.30453,-452958.903319,3812746.22324,-2181487.76756,-5132877.65491,3814641.24461,4212.7965957,-4852.38373248,-4214.16703228,2.81612422809,6.62614108185,-4.93870060153,6764044.51712,1.08897684525,-0.024208735372965706,-0.5344349781594008,-0.02348813980971706,-1.923844091201022,0.8382364941057118,-0.23877395807620141,-7.583167734977661E-5,-0.0019600145575706576,-9.55338630402994E-5,385674.770097,6.39920837842E-12,1113.63745626,2.8161248634,6.6261403051,-4.93870129897
960.0,-5690666.58064,-786067.025115,3551391.4373,-1923845.91128,-5411865.7796,3553096.44311,4371.98173529,-4443.49884654,-4500.68590468,2.48779377548,6.99826567803,-4.60801229027,6764871.1962,1.09335211434,-0.029294473819258537,-0.5862113208448624,-0.02590355381745214,-1.7950167189455377,0.8666191540768304,-0.06136585037414827,-8.788178508262203E-5,-0.002037168014484367,-1.0764892654408692E-4,381606.43211,7.01804725306E-12,1120.98395778,2.48779449791,6.99826489645,-4.60801310771
1020.0,-5797764.42675,-1114491.89809,3273462.57779,-1657251.83344,-5665669.6024,3274969.63409,4511.07614329,-4013.22211405,-4766.67277112,2.14668101604,7.33888113696,-4.25454173564,6765692.09042,1.09772738343,-0.035228865996650316,-0.6426461739506082,-0.028133764099010902,-1.652345850363786,0.8788638187670074,0.13202029366129606,-1.0148583719717661E-4,-0.002116080506458887,-1.2097358902146333E-4,377591.598695,7.67442378372E-12,1127.80221109,2.14668183053,7.33888036336,-4.25454268298
1080.0,-5880795.11577,-1436910.73192,2980230.77462,-1382933.0807,-5893063.46764,2981532.85673,4629.35836798,-3563.50070062,-5010.80549676,1.79431658372,7.64612163228,-3.87980483218,6766490.7992,1.10210265252,-0.04217444017736525,-0.7038269942063063,-0.030040657306128423,-1.5034160555094955,0.8720524674961709,0.3342166748971042,-1.1679029394289174E-4,-0.002195796990811057,-1.356068801854061E-4,373659.569053,8.36430383586E-12,1134.06905226,1.79431749403,7.64612088175,-3.87980591826
1140.0,-5939269.4982,-1752028.37622,2673043.64029,-1102157.68067,-6092941.82849,2674134.66896,4726.20133119,-3096.38969937,-5231.85692826,1.43231459806,7.91825818357,-3.48545109126,6767251.20624,1.10647792161,-0.05035128162016345,-0.7697761986592665,-0.03143156381420383,-1.3581782012605634,0.844682020207956,0.5357546078868005,-1.3393640094917986E-4,-0.0022750659906850003,-1.516345678239052E-4,369839.049941,9.08206527498E-12,1139.76354283,1.43231560648,7.9182574733,-3.48545232333
1200.0,-5972801.46959,-2058582.8431,2353319.33745,-816228.3332,-6264325.46629,2354194.21067,4801.07713498,-2614.04342254,-5428.70277449,1.06236564129,8.15371518463,-3.07325875681,6767957.9305,1.11085319069,-0.06006966991703375,-0.8404325428473346,-0.03202765255948745,-1.2259845246605163,0.7970460325890633,0.7278432323619598,-1.530542079515245E-4,-0.002352329746368597,-1.6911984360903088E-4,366157.828318,9.82039133726E-12,1144.86674357,1.06236674824,8.15371453375,-3.07326014
